;;TOTALE;193246;7880;81103;104263
;;Paese/Location;Casi confermati;Morti;Guariti;In corso
1;;China;80881;3226;68869;8786
2;;Italy;31506;2503;2941;26062
3;;Iran;16169;988;5389;9792
4;;Spain;11316;510;1028;9778
5;;Germany;8616;23;67;8526
6;;South Korea;8320;81;1401;6838
7;;France;6633;148;12;6473
8;;United States;5147;95;9;5043
9;;Switzerland;2700;27;4;2669
10;;United Kingdom;1950;71;52;1827
11;;Netherlands;1705;43;2;1660
12;;Norway;1444;3;;1441
13;;Austria;1332;3;9;1320
14;;Belgium;1243;10;1;1232
15;;Sweden;1191;8;;1183
16;;Denmark;1024;4;;1020
17;;Japan;835;28;164;643
18;;Diamond Princess;712;7;458;247
19;;Malaysia;673;2;49;622
20;;Canada;448;4;11;433
21;;Portugal;448;1;3;444
22;;Qatar;439;0;4;435
23;;Australia;383;5;27;351
24;;Czech Republic;383;0;3;380
25;;Greece;352;4;10;338
26;;Israel;324;0;5;319
27;;Brazil;301;1;1;299
28;;Finland;272;0;1;271
29;;Singapore;266;0;114;152
30;;Slovenia;253;1;0;252
31;;Bahrain;229;1;81;147
32;;Iceland;224;0;5;219
33;;Ireland;223;2;;221
34;;Pakistan;212;0;4;208
35;;Estonia;205;0;1;204
36;;Poland;205;5;0;200
37;;Chile;201;0;;201
38;;Philippines;187;14;4;169
39;;Thailand;177;1;38;138
40;;Indonesia;172;7;9;156
41;;Saudi Arabia;171;0;6;165
42;;Romania;168;0;9;159
43;;Egypt;166;4;27;135
44;;Hong Kong;158;4;88;66
45;;Iraq;154;11;41;102
46;;Luxembourg;140;1;;139
47;;India;137;3;14;120
48;;Kuwait;123;0;12;111
49;;Peru;117;0;1;116
50;;San Marino;115;9;4;102
51;;Russia;114;0;5;109
52;;Lebanon;109;3;;106
53;;United Arab Emirates;98;0;26;72
54;;Mexico;82;0;3;79
55;;Taiwan;77;1;22;54
56;;Afghanistan;73;0;;73
57;;Slovakia;72;0;;72
58;;Panama;69;1;;68
59;;Bulgaria;67;2;;65
60;;Argentina;65;2;;63
61;;Croatia;65;0;1;64
62;;Serbia;65;0;;65
63;;South Africa;62;0;;62
64;;Vietnam;61;0;16;45
65;;Algeria;60;4;10;46
66;;Ecuador;58;2;;56
67;;Colombia;57;0;;57
68;;Brunei;54;0;;54
69;;Armenia;52;0;1;51
70;;Albania;51;1;0;50
71;;Hungary;50;1;2;47
72;;Latvia;49;0;;49
73;;Turkey;47;0;;47
74;;Cyprus;46;0;;46
75;;Sri Lanka;44;0;1;43
76;;Costa Rica;41;0;;41
77;;Palestine;39;0;0;39
78;;Morocco;37;1;;36
79;;Belarus;36;0;3;33
80;;Georgia;35;0;1;34
81;;Jordan;35;0;1;34
82;;Cambodia;33;0;1;32
83;;Venezuela;33;0;;33
84;;Malta;30;0;2;28
85;;Moldova;30;0;1;29
86;;Uruguay;29;0;;29
87;;Azerbaijan;28;1;3;24
88;;Kazakhstan;27;0;;27
89;;Senegal;27;0;0;27
90;;Bosnia;26;0;;26
91;;North Macedonia;24;0;1;23
92;;Oman;24;0;12;12
93;;Tunisia;24;0;;24
94;;Dominican Republic;21;1;;20
95;;Burkina Faso;20;0;;20
96;;Lithuania;18;0;1;17
97;;Kosovo;16;0;;16
98;;Andorra;14;0;;14
99;;Maldives;13;0;;13
100;;Jamaica;12;0;;12
101;;Macau;12;0;10;2
102;;Bolivia;11;0;;11
103;;New Zealand;11;0;;11
104;;Bangladesh;10;0;;10
105;;Uzbekistan;10;0;;10
106;;Monaco;9;0;;9
107;;Paraguay;9;0;;9
108;;Honduras;8;0;;8
109;;Liechtenstein;7;0;;7
110;;Northern Cyprus;7;0;;7
111;;Rwanda;7;0;;7
112;;Ukraine;7;1;;6
113;;Ghana;6;0;;6
114;;Guatemala;6;1;;5
115;;Ivory Coast;6;0;;6
116;;Cameroon;5;0;;5
117;;Cuba;5;0;;5
118;;Ethiopia;5;0;;5
119;;Kenya;4;0;;4
120;;DR Congo;3;0;;3
121;;Gibraltar;3;0;1;2
122;;Nigeria;3;0;0;3
123;;Seychelles;3;0;;3
124;;Liberia;2;0;;2
125;;Namibia;2;0;;2
126;;Bahamas;1;0;;1
127;;Benin;1;0;;1
128;;Bhutan;1;0;;1
129;;Central African Republic;1;0;;1
130;;Congo Republic;1;0;;1
131;;Equatorial Guinea;1;0;;1
132;;Eswatini;1;0;;1
133;;Gabon;1;0;;1
134;;Guinea;1;0;;1
135;;Mauritania;1;0;;1
136;;Nepal;1;0;1;0
137;;Somalia;1;0;;1
138;;Sudan;1;0;;1
139;;Tanzania;1;0;;1
140;;Togo;1;0;;1
141;;Vatican City;1;0;;1
