;;TOTALE;93531;3204;50683;39644
;;Paese/Location;Casi confermati;Morti;Guariti;In corso
1;;China;80270;2981;49856;27433
2;;South Korea;5621;33;34;5554
3;;Italia;2502;79;160;2263
4;;Iran;2336;77;291;1968
5;;Diamond Princess;706;6;40;660
6;;Japan;299;6;10;283
7;;Germany;240;0;16;224
8;;France;212;4;12;196
9;;Spain;161;1;2;158
10;;United States;128;9;9;110
11;;Singapore;110;0;78;32
12;;Hong Kong;101;2;36;63
13;;Switzerland;59;0;0;59
14;;Kuwait;56;0;0;56
15;;United Kingdom;53;0;8;45
16;;Malaysia;50;0;22;28
17;;Bahrain;49;0;0;49
18;;Thailand;43;1;30;12
19;;Taiwan;42;1;12;29
20;;Australia;41;1;21;19
21;;Canada;33;0;3;30
22;;Norway;33;0;0;33
23;;Iraq;32;1;0;31
24;;Sweden;32;0;0;32
25;;India;28;0;3;25
26;;Austria;24;0;0;24
27;;Netherlands;23;0;0;23
28;;UAE;21;0;5;16
29;;Vietnam;16;0;16;0
30;;Israel;15;0;0;15
31;;Iceland;14;0;0;14
32;;Belgium;13;0;1;12
33;;Lebanon;13;0;0;13
34;;Oman;12;0;2;10
35;;Denmark;10;0;0;10
36;;Macau;10;0;6;4
37;;Croatia;8;0;0;8
38;;San Marino;8;1;0;7
39;;Ecuador;7;0;0;7
40;;Finland;7;0;1;6
41;;Greece;7;0;0;7
42;;Qatar;7;0;0;7
43;;Belarus;6;0;0;6
44;;Algeria;5;0;0;5
45;;Czech Republic;5;0;0;5
46;;Mexico;5;0;1;4
47;;Pakistan;5;0;0;5
48;;Romania;4;0;0;4
49;;Azerbaijan;3;0;0;3
50;;Georgia;3;0;0;3
51;;Philippines;3;1;2;0
52;;Russia;3;0;2;1
53;;Brazil;2;0;0;2
54;;Egypt;2;0;1;1
55;;Estonia;2;0;0;2
56;;Indonesia;2;0;;2
57;;Ireland;2;0;;2
58;;New Zealand;2;0;0;2
59;;Portugal;2;0;;2
60;;Afghanistan;1;0;0;1
61;;Andorra;1;0;;1
62;;Argentina;1;0;;1
63;;Armenia;1;0;;1
64;;Cambodia;1;0;1;0
65;;Chile;1;0;;1
66;;Dominican Republic;1;0;;1
67;;Jordan;1;0;;1
68;;Latvia;1;0;;1
69;;Liechtenstein;1;0;;1
70;;Lithuania;1;0;0;1
71;;Luxembourg;1;0;;1
72;;Monaco;1;0;0;1
73;;Morocco;1;0;;1
74;;Nepal;1;0;1;0
75;;Nigeria;1;0;0;1
76;;North Macedonia;1;0;0;1
77;;Poland;1;0;0;1
78;;Saudi Arabia;1;0;;1
79;;Senegal;1;0;;1
80;;Sri Lanka;1;0;1;0
81;;Tunisia;1;0;;1
82;;Ukraine;1;0;;1
