;;TOTALE AUTOM;1328813;73801;278010;977002
;;Paese/Location;Casi conf;Morti;Guariti;In corso
1;;United States;356404;10459;15921;330024
2;;Spain;135032;13169;40437;81426
3;;Italy;132547;16523;22837;93187
4;;Germany;103121;1772;38669;62680
5;;France;96751;8911;17250;70590
6;;China;83535;3331;77360;2844
7;;Iran;60500;3739;24236;32525
8;;United Kingdom;51608;5373;135;46100
9;;Turkey;30217;649;1326;28242
10;;Switzerland;21663;765;8056;12842
11;;Belgium;20814;1632;3751;15431
12;;Netherlands;18803;1867;32;16904
13;;Canada;16457;320;3034;13103
14;;Austria;12286;220;3463;8603
15;;Portugal;11730;311;140;11279
16;;Brazil;11518;506;1;11011
17;;South Korea;10284;186;6463;3635
18;;Israel;8649;56;585;8008
19;;Sweden;7206;477;;6729
20;;Russia;6343;47;406;5890
21;;Australia;5797;40;1080;4677
22;;Norway;5760;71;;5689
23;;Ireland;5364;174;;5190
24;;Denmark;4830;179;3;4648
25;;Chile;4815;37;728;4050
26;;India;4773;135;328;4310
27;;Czech Republic;4735;78;121;4536
28;;Poland;4413;107;207;4099
29;;Romania;4057;167;406;3484
30;;Japan;3880;95;514;3271
31;;Malaysia;3793;62;1241;2490
32;;Ecuador;3747;191;100;3456
33;;Philippines;3660;163;73;3424
34;;Pakistan;3278;50;257;2971
35;;Luxembourg;2843;41;253;2549
36;;Indonesia;2491;209;192;2090
37;;Saudi Arabia;2463;34;488;1941
38;;Peru;2281;83;989;1209
39;;Thailand;2220;26;793;1401
40;;Serbia;2200;58;;2142
41;;Finland;2176;28;10;2138
42;;Mexico;2143;94;35;2014
43;;Panama;1988;54;13;1921
44;;Qatar;1832;4;131;1697
45;;Dominican Republic;1828;86;33;1709
46;;United Arab Emirates;1799;10;144;1645
47;;Greece;1735;73;52;1610
48;;South Africa;1655;11;45;1599
49;;Argentina;1554;47;266;1241
50;;Iceland;1486;4;428;1054
51;;Colombia;1485;35;88;1362
52;;Algeria;1320;152;61;1107
53;;Ukraine;1319;38;28;1253
54;;Singapore;1309;6;320;983
55;;Croatia;1182;15;125;1042
56;;Morocco;1113;71;76;966
57;;Estonia;1108;19;59;1030
58;;New Zealand;1106;1;127;978
59;;Egypt;1070;71;241;758
60;;Iraq;1031;64;344;623
61;;Slovenia;1021;30;79;912
62;;Hong Kong;915;4;216;695
63;;Moldova;864;17;37;810
64;;Lithuania;843;14;7;822
65;;Armenia;833;8;43;782
66;;Bahrain;756;4;458;294
67;;Hungary;744;38;67;639
68;;Diamond Princess;712;11;619;82
69;;Belarus;700;13;52;635
70;;Bosnia;667;26;45;596
71;;Kuwait;665;1;103;561
72;;Cameroon;658;8;17;633
73;;Kazakhstan;604;6;36;562
74;;Azerbaijan;584;7;32;545
75;;North Macedonia;555;18;23;514
76;;Tunisia;553;19;5;529
77;;Latvia;542;0;;542
78;;Bulgaria;541;21;34;486
79;;Lebanon;541;19;35;487
