;;ASSOLUTI;1070118;56341;216470;797307
;;TOTALE AUTOM;1050034;56052;214483;779499
;;Paese/Location;Casi conf;Morti;Guariti;In corso
1;;United States;255285;6469;9359;239457
2;;Spain;117710;10935;26743;80032
3;;Italy;119827;14681;19758;85388
4;;Germany;85871;1121;27793;56957
5;;China;83269;3322;76745;3202
6;;France;59105;5387;9444;44274
7;;Iran;53183;3294;17935;31954
8;;United Kingdom;38168;3605;135;34428
9;;Switzerland;18834;541;4846;13447
10;;Turkey;18135;356;415;17364
11;;Belgium;16770;1143;2495;13132
12;;Netherlands;15723;1487;32;14204
13;;Canada;11283;138;1764;9381
14;;Austria;11171;158;1749;9264
15;;South Korea;10062;174;6021;3867
16;;Portugal;9034;209;68;8757
17;;Brazil;8076;327;1;7748
18;;Israel;7030;37;357;6636
19;;Sweden;5466;282;;5184
20;;Australia;5330;28;649;4653
21;;Norway;5147;50;;5097
22;;Russia;4149;34;281;3834
23;;Czech Republic;3869;46;71;3752
24;;Ireland;3849;98;;3751
25;;Chile;3404;18;335;3051
26;;Denmark;3563;123;3;3437
27;;Malaysia;3333;53;827;2453
28;;Ecuador;3163;120;65;2978
29;;Poland;3149;59;;3090
30;;Philippines;3018;136;52;2830
31;;Japan;2796;73;505;2218
32;;Romania;2738;116;267;2355
33;;India;2559;70;188;2301
34;;Luxembourg;2487;30;;2457
35;;Pakistan;2450;35;126;2289
36;;Thailand;1978;19;342;1617
37;;Saudi Arabia;1885;21;328;1536
38;;Indonesia;1790;170;103;1517
39;;Finland;1615;19;10;1586
40;;Mexico;1510;50;35;1425
41;;Greece;1474;53;52;1369
42;;South Africa;1462;5;31;1426
43;;Peru;1414;55;447;912
44;;Dominican Republic;1380;60;16;1304
45;;Iceland;1319;2;284;1033
46;;Panama;1475;37;10;1428
47;;Argentina;1265;37;63;1165
48;;Serbia;1171;31;;1140
49;;Colombia;1161;19;55;1087
50;;Singapore;1049;5;266;778
51;;United Arab Emirates;1024;8;96;920
52;;Croatia;1011;7;88;916
53;;Algeria;986;83;61;842
54;;Qatar;949;3;62;884
55;;Ukraine;942;23;19;900
56;;Slovenia;897;16;6;875
57;;New Zealand;868;1;103;764
58;;Egypt;865;58;201;606
59;;Estonia;858;11;33;814
60;;Hong Kong;803;4;154;645
61;;Iraq;772;54;202;516
62;;Morocco;735;47;34;654
63;;Diamond Princess;712;11;619;82
64;;Armenia;663;7;33;623
65;;Lithuania;649;8;7;634
66;;Bahrain;635;4;341;290
67;;Hungary;585;21;42;522
68;;Bosnia;518;15;20;483
69;;Moldova;505;6;25;474
70;;Lebanon;494;16;35;443
71;;Bulgaria;477;12;30;435
72;;Latvia;458;0;;458
73;;Tunisia;455;12;5;438
74;;Andorra;428;15;14;399
75;;Slovakia;426;0;3;423
76;;Kazakhstan;423;3;26;394
77;;Kuwait;417;0;82;335
78;;Costa Rica;396;2;2;392
79;;North Macedonia;384;11;17;356
