;;ASSOLUTI;1692158;102400;380649;1209109
;;TOTALE AUTOM;1687748;102145;379002;1206601
;;Paese/Location;Casi conf;Morti;Guariti;In corso
1;;United States;496503;18414;28361;449728
2;;Spain;157053;15970;55668;85415
3;;Italy;147577;18849;28470;100258
4;;France;124869;13197;24932;86740
5;;Germany;121896;2689;61252;57955
6;;China;83962;3336;77905;2721
7;;United Kingdom;73758;8958;1918;62882
8;;Iran;68192;4232;35465;28495
9;;Turkey;47029;1006;2423;43600
10;;Belgium;26667;3019;5162;18486
11;;Switzerland;24551;1002;11100;12449
12;;Netherlands;23097;2511;3459;17127
13;;Canada;22052;557;5603;15892
14;;Brazil;19638;1057;;18581
15;;Portugal;15472;435;233;14804
16;;Austria;13551;319;6064;7168
17;;Russia;11917;94;795;11028
18;;South Korea;10450;208;7117;3125
19;;Israel;10408;95;1183;9130
20;;Sweden;9685;870;;8815
21;;Ireland;8089;287;;7802
22;;India;7598;246;774;6578
23;;Ecuador;7161;297;368;6496
24;;Chile;6501;65;1571;4865
25;;Norway;6313;113;;6200
26;;Australia;6215;54;1793;4368
27;;Denmark;6003;247;3;5753
28;;Poland;5955;181;318;5456
29;;Peru;5897;169;989;4739
30;;Japan;5737;108;632;4997
31;;Czech Republic;5674;119;243;5312
32;;Romania;5467;270;729;4468
33;;Pakistan;4695;98;727;3870
34;;Malaysia;4346;70;183;4093
35;;Philippines;4195;221;140;3834
36;;Saudi Arabia;3651;47;685;2919
37;;Indonesia;3512;306;282;2924
38;;Mexico;3441;194;1141;2106
39;;United Arab Emirates;3360;16;418;2926
40;;Luxembourg;3223;54;412;2757
41;;Serbia;3105;71;;3034
42;;Finland;2769;48;10;2711
43;;Panama;2752;66;16;2670
44;;Dominican Republic;2620;126;98;2396
45;;Qatar;2512;6;227;2279
46;;Thailand;2473;33;1013;1427
47;;Colombia;2223;69;123;2031
48;;Ukraine;2203;69;61;2073
49;;Singapore;2108;7;492;1609
50;;Greece;2011;90;90;1831
51;;South Africa;2003;24;45;1934
52;;Belarus;1981;19;169;1793
53;;Argentina;1894;81;375;1438
54;;Egypt;1794;135;384;1275
55;;Algeria;1761;256;113;1392
56;;Iceland;1675;4;751;920
57;;Morocco;1448;107;122;1219
58;;Moldova;1438;29;56;1353
59;;Croatia;1407;20;219;1168
60;;New Zealand;1283;2;373;908
61;;Iraq;1279;70;550;659
62;;Estonia;1258;24;69;1165
63;;Lithuania;999;17;8;974
64;;Kuwait;993;1;123;869
65;;Hong Kong;990;4;309;677
66;;Armenia;937;11;149;777
67;;Bahrain;913;6;530;377
68;;Bosnia;901;37;129;735
69;;Cameroon;820;12;98;710
70;;Kazakhstan;764;6;58;700
