;;TOTALE;92754;3166;48020;41568;;;;;;;;;;
;;Paese/Location;Casi confermati;Morti;Guariti;In corso;;;;;;;;Cases;Deaths;Recovered
1;;China;80151;2943;47204;30004;;;;;;;Iran;22336;77;291
2;;South Korea;5186;34;26;5126;;;;;;;Diamond Princess;706;6;10
3;;Italia;2502;79;160;2263;;;;;;;Japan;293;6;43
4;;Iran;2336;77;291;1968;;;;;;;France;212;4;12
5;;Diamond Princess;706;6;10;690;;;;;;;Germany;196;0;16
6;;Japan;293;6;43;244;;;;;;;Spain;151;1;2
7;;France;212;4;12;196;;;;;;;Singapore;110;0;78
8;;Germany;196;0;16;180;;;;;;;United States;112;9;9
9;;Spain;151;1;2;148;;;;;;;Hong Kong;101;2;36
10;;United States;112;9;9;94;;;;;;;Kuwait;56;0;0
11;;Singapore;110;0;78;32;;;;;;;Bahrain;49;0;0
12;;Hong Kong;101;2;36;63;;;;;;;Thailand;43;1;30
13;;Kuwait;56;0;0;56;;;;;;;Taiwan;41;1;12
14;;United Kingdom;51;0;8;43;;;;;;;United Kingdom;51;0;8
15;;Bahrain;49;0;0;49;;;;;;;Australia;31;1;15
16;;Thailand;43;1;30;12;;;;;;;Switzerland;37;0;0
17;;Taiwan;41;1;12;28;;;;;;;Malaysia;29;0;22
18;;Switzerland;37;0;0;37;;;;;;;Canada;27;0;3
19;;Australia;31;1;15;15;;;;;;;Iraq;31;0;0
20;;Iraq;31;0;0;31;;;;;;;Norway;25;0;0
21;;Malaysia;29;0;22;7;;;;;;;UAE;21;0;5
22;;Canada;27;0;3;24;;;;;;;Austria;24;0;0
23;;Norway;25;0;0;25;;;;;;;Netherlands;23;0;0
24;;Austria;24;0;0;24;;;;;;;Vietnam;16;0;16
25;;Netherlands;23;0;0;23;;;;;;;Sweden;15;0;0
26;;UAE;21;0;5;16;;;;;;;Lebanon;13;0;0
27;;Vietnam;16;0;16;0;;;;;;;Israel;12;0;0
28;;Sweden;15;0;0;15;;;;;;;Macau;10;0;6
29;;Lebanon;13;0;0;13;;;;;;;Iceland;9;0;0
30;;Israel;12;0;0;12;;;;;;;Belgium;8;0;1
31;;Macau;10;0;6;4;;;;;;;Croatia;8;0;0
32;;Iceland;9;0;0;9;;;;;;;San Marino;8;1;0
33;;Belgium;8;0;1;7;;;;;;;Qatar;7;0;0
34;;Croatia;8;0;0;8;;;;;;;Finland;7;0;1
35;;San Marino;8;1;0;7;;;;;;;Greece;7;0;0
36;;Ecuador;7;0;0;7;;;;;;;Ecuador;7;0;0
37;;Finland;7;0;1;6;;;;;;;Oman;6;0;2
38;;Greece;7;0;0;7;;;;;;;Mexico;5;0;1
39;;Qatar;7;0;0;7;;;;;;;Algeria;5;0;0
40;;Oman;6;0;2;4;;;;;;;Pakistan;5;0;0
41;;Algeria;5;0;0;5;;;;;;;India;5;0;3
42;;India;5;0;3;2;;;;;;;Denmark;4;0;0
43;;Mexico;5;0;1;4;;;;;;;Czech Republic;4;0;0
44;;Pakistan;5;0;0;5;;;;;;;Azerbaijan;3;0;0
45;;Czech Republic;4;0;0;4;;;;;;;Philippines;3;1;2
46;;Denmark;4;0;0;4;;;;;;;Russia;3;0;2
47;;Azerbaijan;3;0;0;3;;;;;;;Georgia;3;0;0
48;;Georgia;3;0;0;3;;;;;;;Romania;3;0;0
49;;Philippines;3;1;2;0;;;;;;;Egypt;2;0;1
50;;Romania;3;0;0;3;;;;;;;Indonesia;2;0;0
51;;Russia;3;0;2;1;;;;;;;Portugal;2;0;0
52;;Brazil;2;0;0;2;;;;;;;Brazil;2;0;0
53;;Egypt;2;0;1;1;;;;;;;Nepal;1;0;1
54;;Indonesia;2;0;0;2;;;;;;;Cambodia;1;0;1
55;;Ireland;2;0;0;2;;;;;;;Sri Lanka;1;0;1
56;;Portugal;2;0;0;2;;;;;;;Afghanistan;1;0;0
57;;Afghanistan;1;0;0;1;;;;;;;North Macedonia;1;0;0
58;;Andorra;1;0;0;1;;;;;;;Estonia;1;0;0
59;;Argentina;1;0;0;1;;;;;;;Nigeria;1;0;0
60;;Armenia;1;0;0;1;;;;;;;Lithuania;1;0;0
61;;Belarus;1;0;0;1;;;;;;;New Zealand;1;0;0
62;;Cambodia;1;0;1;0;;;;;;;Belarus;1;0;0
63;;Chile;1;0;0;1;;;;;;;Monaco;1;0;0
64;;Dominican Republic;1;0;0;1;;;;;;;Luxembourg;1;0;0
65;;Estonia;1;0;0;1;;;;;;;Ireland;2;0;0
66;;Jordan;1;0;0;1;;;;;;;Ukraine;1;0;0
67;;Latvia;1;0;0;1;;;;;;;Morocco;1;0;0
68;;Lithuania;1;0;0;1;;;;;;;Latvia;1;0;0
69;;Luxembourg;1;0;0;1;;;;;;;Senegal;1;0;0
70;;Monaco;1;0;0;1;;;;;;;Saudi Arabia;1;0;0
71;;Morocco;1;0;0;1;;;;;;;Tunisia;1;0;0
72;;Nepal;1;0;1;0;;;;;;;Jordan;1;0;0
73;;New Zealand;1;0;0;1;;;;;;;Andorra;1;0;0
74;;Nigeria;1;0;0;1;;;;;;;Armenia;1;0;0
75;;North Macedonia;1;0;0;1;;;;;;;Dominican Republic;1;0;0
76;;Saudi Arabia;1;0;0;1;;;;;;;Chile;1;0;0
77;;Senegal;1;0;0;1;;;;;;;Argentina;1;0;0
78;;Sri Lanka;1;0;1;0;;;;;;;;;;
79;;Tunisia;1;0;0;1;;;;;;;;;;
80;;Ukraine;1;0;0;1;;;;;;;;;;
;;;;;;;;;;;;;;;;
