;;TOTALE;118488;4261;64752;49475;;;;;;;;;
;;Paese/Location;Casi confermati;Morti;Guariti;In corso;;;;;;;;;
87;;Tunisia;2;0;;2;;;;;;Nepal;1;0;1
88;;Andorra;1;0;;1;;;;;;Sri Lanka;1;0;1
89;;Armenia;1;0;;1;;;;;;North Macedonia;1;0;
90;;Bhutan;1;0;;1;;;;;;Lithuania;1;0;
91;;Dominican Republic;1;0;;1;;;;;;Monaco;1;0;
92;;Gibraltar;1;0;;1;;;;;;Ukraine;1;0;
93;;Jordan;1;0;;1;;;;;;Jordan;1;0;
94;;Liechtenstein;1;0;;1;;;;;;Andorra;1;0;
95;;Lithuania;1;0;;1;;;;;;Armenia;1;0;
96;;Malta;1;0;;1;;;;;;Dominican Republic;1;0;
97;;Moldova;1;0;;1;;;;;;Liechtenstein;1;0;
98;;Monaco;1;0;;1;;;;;;Bhutan;1;0;
99;;Nepal;1;0;1;0;;;;;;Gibraltar;1;0;
100;;North Macedonia;1;0;;1;;;;;;Vatican City;1;0;
101;;Sri Lanka;1;0;1;0;;;;;;Turkey;1;0;
102;;Togo;1;0;;1;;;;;;;;;
103;;Turkey;1;0;;1;;;;;;;;;
104;;Ukraine;1;0;;1;;;;;;;;;
105;;Vatican City;1;0;;1;;;;;;;;;
106;;;;;;0;;;;;;;;;
107;;;;;;0;;;;;;;;;
108;;;;;;0;;;;;;;;;
109;;;;;;0;;;;;;;;;
110;;;;;;0;;;;;;;;;
111;;;;;;0;;;;;;;;;
112;;;;;;0;;;;;;;;;
113;;;;;;0;;;;;;;;;
114;;;;;;0;;;;;;;;;
115;;;;;;0;;;;;;;;;
116;;;;;;0;;;;;;;;;
117;;;;;;0;;;;;;;;;
118;;;;;;0;;;;;;;;;
119;;;;;;0;;;;;;;;;
120;;;;;;0;;;;;;;;;
