;;Paese/Location;Casi conf;Morti;Guariti;In corso
1;;China;80967;3248;70420;7299
2;;Italy;47021;4032;5129;37860
3;;Spain;20410;1041;1588;17781
4;;Iran;19644;1433;6745;11466
5;;Germany;16666;44;115;16507
6;;United States;15777;208;26;15543
7;;France;10995;372;12;10611
8;;South Korea;8652;94;2233;6325
9;;Switzerland;4164;43;4;4117
10;;United Kingdom;3269;144;65;3060
11;;Netherlands;2994;106;2;2886
12;;Austria;2203;7;9;2187
13;;Belgium;1795;21;31;1743
14;;Norway;1781;7;;1774
15;;Sweden;1423;11;;1412
16;;Denmark;1223;6;;1217
17;;Japan;967;33;215;719
18;;Malaysia;900;2;75;823
19;;Canada;863;12;12;839
20;;Australia;800;7;30;763
21;;Diamond Princess;712;7;551;154
22;;Czech Republic;694;0;3;691
23;;Israel;677;0;14;663
24;;Brazil;647;7;1;639
25;;Ireland;557;3;;554
26;;Greece;464;6;10;448
27;;Pakistan;461;3;5;453
28;;Qatar;460;0;4;456
29;;Finland;400;0;10;390
30;;Indonesia;369;32;17;320
31;;Turkey;359;4;;355
32;;Poland;355;5;0;350
33;;Singapore;345;0;124;221
34;;Chile;342;0;;342
35;;Luxembourg;335;4;;331
36;;Iceland;330;0;5;325
37;;Thailand;322;1;43;278
38;;Slovenia;319;1;0;318
39;;Bahrain;279;1;110;168
40;;Romania;277;0;25;252
41;;Saudi Arabia;274;0;8;266
42;;Estonia;267;0;1;266
43;;Egypt;256;7;28;221
44;;Hong Kong;256;4;98;154
45;;Peru;234;3;2;229
46;;Philippines;230;18;8;204
47;;India;223;4;15;204
48;;South Africa;202;0;;202
49;;Ecuador;199;3;;196
50;;Russia;199;1;5;193
51;;Iraq;192;13;49;130
52;;Mexico;164;1;3;160
53;;Lebanon;163;4;3;156
54;;Kuwait;159;0;22;137
55;;San Marino;140;14;4;122
56;;United Arab Emirates;140;0;31;109
57;;Panama;137;1;0;136
58;;Armenia;136;0;1;135
59;;Taiwan;135;2;28;105
60;;Argentina;128;3;;125
61;;Colombia;128;0;;128
62;;Slovakia;123;0;;123
63;;Serbia;118;0;;118
64;;Bulgaria;112;3;;109
