;;TOTALE;180738;7097;77940;95701
;;Paese/Location;Casi confermati;Morti;Guariti;In corso
1;;China;80860;3213;67490;10157
2;;Italy;27980;2158;2749;23073
3;;Iran;14991;853;4996;9142
4;;Spain;9940;342;530;9068
5;;South Korea;8236;75;1137;7024
6;;Germany;7272;14;60;7198
7;;France;6633;148;12;6473
8;;United States;4289;71;9;4209
9;;Switzerland;2200;14;4;2182
10;;United Kingdom;1543;55;18;1470
11;;Netherlands;1413;24;2;1387
12;;Norway;1256;3;;1253
13;;Belgium;1085;5;1;1079
14;;Sweden;1032;3;;1029
15;;Austria;959;1;6;952
16;;Denmark;932;1;;931
17;;Japan;818;24;59;735
18;;Diamond Princess;697;7;245;445
19;;Malaysia;553;0;42;511
20;;Qatar;401;0;4;397
21;;Canada;373;4;11;358
22;;Australia;360;5;27;328
23;;Greece;331;4;10;317
24;;Portugal;331;1;2;328
25;;Czech Republic;298;0;0;298
26;;Israel;277;0;4;273
27;;Finland;272;0;1;271
28;;Singapore;226;0;105;121
29;;Bahrain;221;1;77;143
30;;Slovenia;219;1;0;218
31;;Brazil;218;0;1;217
32;;Iceland;180;0;;180
33;;Pakistan;179;0;3;176
34;;Estonia;171;0;1;170
35;;Ireland;169;2;;167
36;;Romania;159;0;9;150
37;;Chile;156;0;;156
38;;Poland;150;3;0;147
39;;Hong Kong;149;4;81;64
40;;Thailand;147;1;38;108
41;;Philippines;142;12;3;127
42;;Indonesia;134;5;8;121
43;;Iraq;133;10;26;97
44;;Saudi Arabia;133;0;6;127
45;;India;130;2;13;115
46;;Egypt;126;2;27;97
47;;Kuwait;112;0;9;103
48;;San Marino;109;7;4;98
49;;Lebanon;99;3;;96
50;;United Arab Emirates;98;0;26;72
51;;Russia;93;0;4;89
52;;Peru;86;0;;86
53;;Luxembourg;77;1;;76
54;;Taiwan;67;1;20;46
55;;South Africa;62;0;;62
56;;Slovakia;61;0;;61
57;;Algeria;60;4;10;46
58;;Vietnam;57;0;16;41
59;;Argentina;56;2;;54
60;;Croatia;56;0;1;55
61;;Panama;55;1;;54
62;;Serbia;55;0;;55
63;;Mexico;53;0;3;50
64;;Bulgaria;51;2;;49
65;;Brunei;50;0;;50
66;;Colombia;45;0;;45
67;;Albania;42;1;;41
68;;Palestine;38;0;0;38
69;;Ecuador;37;2;;35
70;;Costa Rica;35;0;;35
71;;Cyprus;33;0;;33
72;;Georgia;33;0;1;32
73;;Hungary;32;1;0;31
74;;Armenia;30;0;1;29
75;;Latvia;30;0;;30
76;;Morocco;28;1;;27
77;;Belarus;27;0;3;24
78;;Senegal;27;0;0;27
79;;Azerbaijan;25;1;3;21
80;;Bosnia;24;0;;24
81;;Moldova;23;0;;23
82;;Oman;22;0;9;13
83;;Afghanistan;21;0;;21
84;;Malta;21;0;2;19
85;;Tunisia;20;0;;20
86;;North Macedonia;19;0;0;19
87;;Sri Lanka;18;0;1;17
88;;Turkey;18;0;;18
89;;Venezuela;17;0;;17
90;;Jamaica;15;0;;15
91;;Jordan;15;0;1;14
92;;Andorra;14;0;;14
93;;Lithuania;14;0;;14
94;;Maldives;13;0;;13
95;;Cambodia;12;0;1;11
96;;Dominican Republic;11;0;;11
97;;Macau;11;0;6;5
98;;Bolivia;10;;;10
99;;New Zealand;10;0;;10
100;;Kazakhstan;9;0;;9
101;;Bangladesh;8;0;;8
102;;Paraguay;8;0;;8
103;;Burkina Faso;7;0;;7
104;;Liechtenstein;7;0;;7
105;;Ghana;6;0;;6
106;;Guatemala;6;1;;5
107;;Honduras;6;0;;6
108;;Uzbekistan;6;0;;6
109;;Cameroon;5;0;;5
110;;Ivory Coast;5;0;;5
111;;Rwanda;5;0;;5
112;;Ethiopia;4;0;;4
113;;DR Congo;3;0;;3
114;;Gibraltar;3;0;1;2
115;;Kenya;3;0;;3
116;;Seychelles;3;0;;3
117;;Ukraine;3;1;;2
118;;Monaco;2;0;;2
119;;Namibia;2;0;;2
120;;Nigeria;2;0;0;2
121;;Bahamas;1;0;;1
122;;Bhutan;1;0;;1
123;;Central African Republic;1;0;;1
124;;Congo Republic;1;0;;1
125;;Equatorial Guinea;1;0;;1
126;;Eswatini;1;0;;1
127;;Gabon;1;0;;1
128;;Guinea;1;0;;1
129;;Liberia;1;0;;1
130;;Mauritania;1;0;;1
131;;Nepal;1;0;1;0
132;;Sudan;1;0;;1
133;;Togo;1;0;;1
134;;Vatican City;1;0;;1
135;;;;;;0
136;;;;;;0
137;;;;;;0
;;;;;;
;;;;;;
;;;;;;
