;;ASSOLUTI;402074;17963;101991;282120
;;TOTALE AUTOM;400576;17948;101999;280629
;;Paese/Location;Casi conf;Morti;Guariti;In corso
1;;China;81171;3277;73159;4735
2;;Italy;69176;6820;8326;54030
3;;United States;49380;601;35;48744
4;;Spain;39676;2800;3794;33082
5;;Germany;31568;144;453;30971
6;;Iran;23049;1812;8376;12861
7;;France;19856;860;1587;17409
8;;Switzerland;9832;130;4;9698
9;;South Korea;9037;124;3166;5747
10;;United Kingdom;8077;422;135;7520
11;;Netherlands;4749;213;2;4534
12;;Austria;4486;25;9;4452
13;;Belgium;3743;88;401;3254
14;;Norway;2561;10;;2551
15;;Portugal;2362;33;22;2307
16;;Canada;2091;25;112;1954
17;;Australia;2044;8;119;1917
18;;Sweden;2016;33;;1983
19;;Brazil;1891;34;1;1856
20;;Denmark;1699;24;3;1672
21;;Israel;1656;1;37;1618
22;;Malaysia;1624;15;159;1450
23;;Turkey;1549;37;;1512
24;;Czech Republic;1289;1;7;1281
25;;Japan;1140;41;215;884
26;;Ireland;1125;6;;1119
27;;Ecuador;981;18;3;960
28;;Pakistan;887;6;6;875
29;;Luxembourg;875;8;;867
30;;Thailand;827;4;45;778
31;;Poland;766;8;0;758
32;;Chile;746;1;11;734
33;;Diamond Princess;712;10;551;151
34;;Finland;700;1;10;689
35;;Greece;695;17;19;659
36;;Iceland;588;0;51;537
37;;Indonesia;579;55;30;494
38;;Romania;576;4;73;499
39;;Saudi Arabia;562;0;8;554
40;;Philippines;552;35;18;499
41;;Singapore;509;2;152;355
42;;Qatar;501;0;37;464
43;;India;492;10;37;445
44;;Slovenia;442;3;0;439
45;;Russia;440;1;17;422
46;;South Africa;402;0;;402
47;;Peru;395;5;2;388
48;;Hong Kong;387;4;102;281
49;;Bahrain;377;2;164;211
50;;Estonia;369;0;7;362
51;;Mexico;367;4;35;328
52;;Egypt;366;19;68;279
53;;Croatia;361;1;5;355
54;;Panama;345;6;0;339
55;;Colombia;306;3;6;297
56;;Argentina;301;4;;297
57;;Lebanon;267;4;3;260
58;;Iraq;266;23;62;181
59;;Serbia;249;0;;249
60;;Dominican Republic;245;3;2;240
61;;Armenia;235;0;2;233
62;;Algeria;230;17;10;203
63;;Taiwan;215;2;29;184
64;;Bulgaria;201;3;3;195
65;;United Arab Emirates;198;2;41;155
66;;Latvia;197;0;;197
67;;Kuwait;191;0;39;152
68;;San Marino;187;20;4;163
69;;Hungary;187;8;21;158
70;;Lithuania;187;1;1;185
71;;Slovakia;186;0;;186
72;;Uruguay;162;0;2;160
73;;Costa Rica;158;2;2;154
74;;New Zealand;155;0;12;143
75;;Morocco;143;4;5;134
76;;Bosnia;137;1;2;134
77;;North Macedonia;136;2;1;133
78;;Andorra;133;0;2;131
79;;Jordan;127;0;1;126
80;;Vietnam;123;0;17;106
81;;Cyprus;116;1;;115
82;;Moldova;109;1;2;106
83;;Malta;107;0;2;105
84;;Albania;104;4;5;95
85;;Burkina Faso;99;4;5;90
86;;Sri Lanka;97;0;1;96
87;;Brunei;91;0;2;89
