;;ASSOLUTI;561965;25830;128509;407626
;;TOTALE AUTOM;655582;30386;144082;543388
;;Paese/Location;Casi conf;Morti;Guariti;In corso
1;;United States;118589;1971;2441;114177
2;;Italy;92472;10023;12384;62013
3;;China;81394;3295;74971;73454
4;;Spain;72335;5820;12285;54230
5;;Germany;57847;433;13251;44163
6;;France;37575;2314;4948;30313
7;;Iran;35408;2517;11679;21212
8;;United Kingdom;17089;1019;135;15935
9;;Switzerland;14108;271;1524;12313
10;;Netherlands;9762;639;2;9121
11;;South Korea;9478;144;4811;4523
12;;Belgium;9134;353;1063;7718
13;;Austria;8030;68;9;7953
14;;Turkey;7402;108;42;7252
15;;Canada;5502;60;353;5089
16;;Portugal;5170;100;43;5027
17;;Norway;3972;21;;3951
18;;Brazil;3904;114;1;3789
19;;Australia;3640;14;244;3382
20;;Israel;3619;12;79;3528
21;;Sweden;3447;102;;3345
22;;Czech Republic;2541;9;11;2521
23;;Ireland;2415;36;;2379
24;;Denmark;2356;52;3;2301
25;;Malaysia;2320;27;320;1973
26;;Chile;1909;6;33;1870
27;;Luxembourg;1831;18;;1813
28;;Ecuador;1823;48;3;1772
29;;Japan;1652;53;359;1240
30;;Poland;1638;18;0;1620
31;;Pakistan;1500;12;26;1462
32;;Romania;1452;30;139;1283
33;;Russia;1264;7;49;1208
34;;Thailand;1245;6;97;1142
35;;Saudi Arabia;1203;4;37;1162
36;;South Africa;1187;1;31;1155
37;;Finland;1163;7;10;1146
38;;Indonesia;1155;102;59;994
39;;Philippines;1075;68;35;972
40;;Greece;1061;32;52;977
41;;Iceland;963;2;97;864
42;;India;918;19;80;819
43;;Singapore;802;2;198;602
44;;Panama;786;14;2;770
45;;Dominican Republic;719;28;3;688
46;;Mexico;717;12;23;682
47;;Diamond Princess;712;10;601;101
48;;Argentina;690;17;63;610
49;;Slovenia;684;9;0;675
50;;Peru;671;16;16;639
51;;Serbia;659;10;;649
52;;Croatia;657;5;49;603
53;;Estonia;640;1;20;619
54;;Colombia;608;6;8;594
55;;Qatar;590;1;45;544
56;;Hong Kong;583;4;112;467
57;;Egypt;576;36;121;419
58;;Iraq;506;42;131;333
59;;Bahrain;476;4;265;207
60;;United Arab Emirates;468;2;55;411
61;;Algeria;454;29;77;348
62;;New Zealand;451;0;27;424
63;;Lebanon;412;8;3;401
64;;Morocco;390;25;11;354
65;;Lithuania;382;5;1;376
66;;Ukraine;356;9;5;342
67;;Hungary;343;11;34;298
68;;Armenia;329;1;18;310
69;;Bulgaria;313;4;3;306
70;;Andorra;308;4;5;299
71;;Costa Rica;295;2;2;291
72;;Taiwan;283;2;30;251
73;;Latvia;280;0;;280
74;;Uruguay;274;0;2;272
75;;Slovakia;269;0;;269
76;;Bosnia;265;6;5;254
77;;Jordan;246;0;18;228
78;;Kuwait;235;0;64;171
79;;Moldova;231;2;11;218
80;;Tunisia;227;6;1;220
81;;San Marino;223;21;6;196
82;;Kazakhstan;204;0;;204
83;;North Macedonia;201;3;3;195
84;;Azerbaijan;182;4;15;163
85;;Albania;174;6;17;151
86;;Vietnam;174;0;17;157
87;;Burkina Faso;152;7;10;135
88;;Oman;152;0;23;129
89;;Cyprus;146;3;1;142
90;;Ghana;141;5;2;134
91;;Malta;134;0;2;132
92;;Senegal;130;0;18;112
93;;Brunei;120;1;25;94
94;;Cuba;119;3;4;112
95;;Venezuela;113;2;31;80
96;;Sri Lanka;113;1;9;103
97;;Afghanistan;110;3;3;104
98;;Uzbekistan;104;1;;103
99;;Mauritius;102;2;;100
100;;Cambodia;98;0;11;87
101;;Palestine;97;1;17;79
102;;Ivory Coast;96;0;3;93
103;;Honduras;95;1;;94
104;;Cameroon;94;1;2;91
105;;Belarus;94;0;32;62
106;;Kosovo;91;1;1;89
107;;Georgia;90;0;16;74
108;;Nigeria;89;1;3;85
109;;Trinidad and Tobago;74;2;1;71
110;;Bolivia;74;0;;74
111;;Montenegro;70;1;;69
112;;Jersey;61;1;;60
113;;Kyrgyzstan;58;0;;58
114;;Gibraltar;56;0;14;42
115;;Liechtenstein;56;0;;56
116;;Northern Cyprus;56;0;3;53
117;;DR Congo;54;5;2;47
118;;Paraguay;52;3;;49
119;;Rwanda;50;0;0;50
