;;TOTALE;90308;3118;47989;39201;;;;;;;;
;;Paese/Location;Casi confermati;Morti;Guariti;In corso;;;;;;;;
1;;China;80151;2943;47204;30004;;;;;;;;
2;;South Korea;4335;34;26;4275;;;;;;;;
3;;Italia;2036;52;149;1835;;;;;;;;
4;;Iran;1501;66;291;1144;;;;;;;;
5;;Diamond Princess;705;6;10;689;;;;;;;;
6;;Japan;274;6;32;236;;;;;;;;
7;;Germany;150;0;16;134;;;;;;;;
8;;France;130;2;12;116;;;;;;;;
9;;Spain;120;0;2;118;;;;;;;;
10;;Singapore;108;0;78;30;;;;;;;;
11;;Hong Kong;100;2;36;62;;;;;;;;
12;;United States;88;2;9;77;;;;;;;;
13;;Kuwait;56;0;;56;;;;;;;;
14;;Bahrain;47;0;;47;;;;;;;;
15;;Thailand;43;1;30;12;;;;;;;;
16;;Taiwan;40;1;5;34;;;;;;;;
17;;United Kingdom;40;0;8;32;;;;;;;;
18;;Australia;30;1;15;14;;;;;;;;
19;;Malaysia;29;0;22;7;;;;;;;;
20;;Canada;24;0;3;21;;;;;;;;
21;;Switzerland;24;0;;24;;;;;;;;
22;;Iraq;21;0;;21;;;;;;;;
23;;UAE;21;0;5;16;;;;;;;;
24;;Norway;19;0;;19;;;;;;;;
25;;Netherlands;18;0;;18;;;;;;;;
26;;Vietnam;16;0;16;0;;;;;;;;
27;;Austria;15;0;;15;;;;;;;;
28;;Sweden;14;0;;14;;;;;;;;
29;;Israel;10;0;;10;;;;;;;;
30;;Lebanon;10;0;;10;;;;;;;;
31;;Macau;10;0;6;4;;;;;;;;
32;;Belgium;8;0;1;7;;;;;;;;
33;;Croatia;8;0;;8;;;;;;;;
34;;San Marino;8;1;;7;;;;;;;;
35;;Greece;7;0;;7;;;;;;;;
36;;Ecuador;6;0;;6;;;;;;;;
37;;Finland;6;0;1;5;;;;;;;;
38;;Oman;6;0;2;4;;;;;;;;
39;;India;5;0;3;2;;;;;;;;
40;;Mexico;5;0;;5;;;;;;;;
41;;Denmark;4;0;;4;;;;;;;;
42;;Pakistan;4;0;;4;;;;;;;;
43;;Algeria;3;0;;3;;;;;;;;
44;;Azerbaijan;3;0;;3;;;;;;;;
45;;Czech Republic;3;0;;3;;;;;;;;
46;;Georgia;3;0;;3;;;;;;;;
47;;Iceland;3;0;;3;;;;;;;;
48;;Philippines;3;1;2;0;;;;;;;;
49;;Qatar;3;0;;3;;;;;;;;
50;;Romania;3;0;;3;;;;;;;;
51;;Russia;3;0;1;2;;;;;;;;
52;;Brazil;2;0;;2;;;;;;;;
53;;Egypt;2;0;1;1;;;;;;;;
54;;Indonesia;2;0;;2;;;;;;;;
55;;Portugal;2;0;;2;;;;;;;;
56;;Afghanistan;1;0;;1;;;;;;;;
57;;Andorra;1;0;;1;;;;;;;;
58;;Armenia;1;0;;1;;;;;;;;
59;;Belarus;1;0;;1;;;;;;;;
60;;Cambodia;1;0;1;0;;;;;;;;
61;;Dominican Republic;1;0;;1;;;;;;;;
62;;Estonia;1;0;;1;;;;;;;;
63;;Ireland;1;0;;1;;;;;;;;
64;;Jordan;1;0;;1;;;;;;;;
65;;Latvia;1;0;;1;;;;;;;;
66;;Lithuania;1;0;;1;;;;;;;;
67;;Luxembourg;1;0;;1;;;;;;;;
68;;Monaco;1;0;;1;;;;;;;;
69;;Nepal;1;0;1;0;;;;;;;;
70;;New Zealand;1;0;;1;;;;;;;;
71;;Nigeria;1;0;;1;;;;;;;;
72;;North Macedonia;1;0;;1;;;;;;;;
73;;Saudi Arabia;1;0;;1;;;;;;;;
74;;Senegal;1;0;;1;;;;;;;;
75;;Sri Lanka;1;0;1;0;;;;;;;;
76;;Tunisia;1;0;;1;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
